Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Caleb Martin,SF,28,MIA,64,1756,10.8,4.7,13.5,9.1,11.8,1.3,1.6,17.3,0.2,2.2,2.4,0.066,-2.2,0.2,-2.0,0.0,0,0,0,2024
Cody Martin,SF,28,CHO,28,753,9.2,2.8,13.9,8.1,19.1,2.1,2.2,16.1,-0.7,0.5,-0.2,-0.012,-4.1,0.6,-3.5,-0.3,0,0,0,2024
Garrison Mathews,SG,27,ATL,66,992,8.9,1.8,8.6,5.1,4.8,1.0,0.7,11.1,1.4,0.2,1.6,0.077,-2.1,-0.9,-3.0,-0.2,0,0,0,2024
Bennedict Mathurin,SF,21,IND,59,1538,13.0,4.4,12.8,8.6,9.8,1.1,0.7,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,0,0,0,2024
Wesley Matthews,SG,37,ATL,36,413,8.2,2.3,12.1,7.0,6.9,1.9,2.4,11.7,0.2,0.3,0.4,0.049,-3.1,0.3,-2.8,-0.1,0,0,0,2024
Tyrese Maxey,PG,23,PHI,70,2626,19.8,1.5,9.5,5.4,26.7,1.3,1.1,28.0,5.9,2.1,8.1,0.147,4.1,-1.0,3.1,3.4,0,0,0,2024
Miles McBride,PG,23,NYK,68,1328,13.1,2.6,5.9,4.2,12.2,1.9,0.5,16.4,2.4,1.3,3.6,0.131,-0.4,0.4,-0.1,0.6,0,0,0,2024
CJ McCollum,PG,32,NOP,66,2159,17.9,2.0,12.6,7.4,21.4,1.4,1.9,24.7,3.5,2.4,5.9,0.132,3.3,-0.3,3.1,2.8,0,0,0,2024
T.J. McConnell,PG,31,IND,71,1291,20.9,3.2,13.6,8.4,41.8,2.6,0.5,23.7,2.8,1.1,3.9,0.143,2.9,0.1,3.0,1.6,0,0,0,2024
Jaden McDaniels,SF,23,MIN,72,2105,9.4,3.2,8.7,6.0,6.8,1.5,1.8,15.7,0.3,3.1,3.4,0.077,-3.3,0.7,-2.6,-0.3,0,0,0,2024
Jalen McDaniels,SF,26,TOR,50,538,5.0,3.6,12.7,8.1,9.1,1.7,1.0,18.7,-1.1,0.3,-0.8,-0.074,-7.2,-1.8,-9.0,-1.0,0,0,0,2024
JaVale McGee,C,36,SAC,46,339,19.0,13.6,28.4,20.8,7.6,2.0,5.4,23.4,0.1,0.6,0.7,0.101,-1.9,0.6,-1.3,0.1,0,0,0,2024
Bryce McGowens,SG,21,CHO,59,882,9.3,2.1,11.2,6.5,8.1,1.2,1.1,14.9,0.4,0.3,0.6,0.034,-3.7,-1.1,-4.9,-0.6,0,0,0,2024
Jordan McLaughlin,PG,27,MIN,56,626,15.5,3.4,9.4,6.5,23.7,2.8,1.0,12.1,1.4,1.1,2.5,0.193,1.4,2.9,4.2,1.0,0,0,0,2024
De'Anthony Melton,SG,25,PHI,38,1023,13.4,3.0,12.4,7.6,15.4,2.9,1.4,18.3,0.8,1.4,2.1,0.099,-0.7,1.2,0.5,0.7,0,0,0,2024
Nathan Mensah,C,25,CHO,25,307,5.0,10.3,13.6,11.9,3.7,1.0,4.3,6.8,0.0,0.2,0.1,0.023,-8.7,-0.1,-8.8,-0.5,0,1,0,2024
Sam Merrill,SG,27,CLE,61,1069,13.1,2.3,10.2,6.3,14.1,0.9,0.3,17.5,1.9,0.9,2.8,0.125,1.3,-0.8,0.5,0.7,0,0,0,2024
Khris Middleton,SF,32,MIL,55,1487,17.0,3.0,15.7,9.5,28.9,1.6,0.9,23.9,1.9,1.4,3.4,0.109,1.1,0.0,1.1,1.2,0,0,0,2024
Brandon Miller,SF,21,CHO,74,2383,13.0,2.7,12.4,7.4,11.6,1.4,1.6,23.9,-0.3,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3,0,1,1,2024
Jordan Miller,SF,24,LAC,8,28,14.1,12.5,7.8,10.1,0.0,0.0,0.0,17.0,0.1,0.0,0.1,0.116,0.4,-4.2,-3.8,0.0,0,1,0,2024
Leonard Miller,SF,20,MIN,17,52,27.0,11.5,31.3,21.8,25.5,1.9,1.7,18.6,0.2,0.1,0.3,0.323,5.9,3.7,9.6,0.2,0,1,0,2024
Dariq Whitehead,SF,19,BRK,2,24,4.9,0.0,18.8,9.1,15.6,0.0,3.8,10.6,0.0,0.0,0.0,-0.03,-5.5,-2.4,-7.9,0.0,0,1,0,2024
Justin Minaya,SF,24,POR,34,381,5.8,8.3,8.1,8.2,7.3,1.2,2.4,9.7,-0.1,0.2,0.1,0.009,-5.1,-0.5,-5.6,-0.3,0,0,0,2024
Josh Minott,SF,21,MIN,32,91,20.4,5.2,15.5,10.6,13.2,2.7,4.9,21.4,0.2,0.2,0.4,0.222,1.8,3.3,5.1,0.2,0,0,0,2024
