Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Jalen Jones,SF,24,TOT,16,181,10.3,7.7,15.7,11.6,3.5,1.4,0.5,20.9,0.0,0.2,0.1,0.027,-3.4,-2.6,-6.0,-0.2,0,1,0,2018
Sean Kilpatrick,SG,28,TOT,52,640,11.6,0.8,14.2,7.5,11.3,1.0,0.7,24.9,-0.2,0.3,0.1,0.008,-1.1,-1.7,-2.8,-0.1,0,0,0,2018
DeAndre Liggins,SG,29,TOT,58,724,6.0,1.1,10.6,5.9,8.4,2.5,1.6,7.9,-0.2,0.7,0.5,0.034,-4.3,1.8,-2.5,-0.1,0,0,0,2018
Boban Marjanović,C,29,TOT,39,337,26.0,15.7,31.4,23.5,11.2,1.5,2.8,29.4,1.0,0.5,1.5,0.215,2.3,0.2,2.5,0.4,0,0,0,2018
Doug McDermott,SF,26,TOT,81,1768,10.4,2.5,10.2,6.3,6.5,0.5,0.8,15.0,1.7,0.6,2.3,0.063,-1.0,-1.3,-2.2,-0.1,0,0,0,2018
Nikola Mirotić,PF,26,TOT,55,1494,18.7,4.3,24.9,14.6,8.6,1.4,2.2,23.4,2.2,1.8,4.0,0.128,2.5,-0.3,2.2,1.6,0,0,0,2018
Greg Monroe,C,27,TOT,51,1040,21.2,11.4,25.2,18.3,18.7,2.1,1.8,22.4,1.8,1.6,3.4,0.155,1.3,1.0,2.2,1.1,0,0,0,2018
Emmanuel Mudiay,PG,21,TOT,64,1245,11.5,2.3,11.3,6.8,24.5,1.6,0.8,24.4,-0.8,0.7,0.0,-0.002,-2.1,-1.8,-3.9,-0.6,0,0,0,2018
Shabazz Muhammad,SF-SG,25,TOT,43,418,15.4,6.3,14.8,10.6,5.7,1.1,0.6,23.0,0.5,0.2,0.7,0.081,-0.3,-2.3,-2.5,-0.1,0,0,0,2018
Larry Nance Jr.,C,25,TOT,66,1421,20.2,12.4,22.0,17.3,8.6,3.0,2.2,15.9,3.5,2.3,5.8,0.196,0.9,1.5,2.4,1.6,0,0,0,2018
Jameer Nelson,PG,35,TOT,50,1013,8.1,1.4,9.5,5.6,22.8,1.3,0.3,13.7,-0.1,0.7,0.6,0.028,-2.9,-0.4,-3.3,-0.3,0,0,0,2018
Jahlil Okafor,C,22,TOT,28,353,15.3,6.3,19.4,12.8,5.9,0.4,3.9,21.0,0.3,0.3,0.6,0.083,-1.8,0.0,-1.7,0.0,0,0,0,2018
Georgios Papagiannis,C,20,TOT,17,122,12.2,11.6,23.4,17.2,11.2,1.6,4.7,18.4,-0.1,0.1,0.0,0.005,-3.9,-0.3,-4.1,-0.1,0,0,0,2018
Elfrid Payton,PG,23,TOT,63,1808,16.5,3.8,12.8,8.2,34.9,2.2,1.0,21.9,1.4,1.4,2.8,0.075,0.1,-0.3,-0.2,0.8,0,0,0,2018
Gary Payton II,PG,25,TOT,23,221,9.8,6.5,15.5,11.0,13.7,1.5,1.1,16.8,0.0,0.2,0.2,0.041,-3.5,-0.4,-3.9,-0.1,0,0,0,2018
Willie Reed,C,27,TOT,42,428,19.2,9.1,21.8,15.5,3.6,1.0,4.3,16.6,1.0,0.5,1.5,0.172,0.5,0.3,0.8,0.3,0,0,0,2018
Malachi Richardson,SG,22,TOT,26,324,5.9,1.7,10.6,6.0,5.6,1.6,0.3,15.2,-0.2,0.1,-0.1,-0.015,-5.0,-1.0,-6.0,-0.3,0,0,0,2018
Derrick Rose,PG,29,TOT,25,420,11.5,3.5,5.8,4.7,13.6,0.8,0.8,25.4,-0.2,0.1,-0.2,-0.018,-2.1,-3.3,-5.4,-0.4,0,0,0,2018
Ramon Sessions,PG,31,TOT,28,392,11.2,1.7,9.1,5.4,27.2,1.8,0.4,19.3,0.1,0.3,0.3,0.039,-2.3,-0.9,-3.2,-0.1,0,0,0,2018
Nik Stauskas,SG,24,TOT,41,523,9.0,0.8,12.3,6.5,11.1,0.8,0.6,15.9,0.1,0.3,0.3,0.031,-1.3,-1.0,-2.3,-0.1,0,0,0,2018
Isaiah Thomas,PG,28,TOT,32,862,12.6,2.2,6.3,4.2,27.1,0.8,0.3,28.8,-0.1,0.3,0.2,0.009,-0.9,-3.9,-4.9,-0.6,0,0,0,2018
Rashad Vaughn,SG,21,TOT,28,212,9.3,1.6,9.8,5.7,8.7,1.2,1.2,13.7,0.1,0.1,0.2,0.05,-1.3,-1.4,-2.6,0.0,0,0,0,2018
Noah Vonleh,PF,22,TOT,54,875,12.8,8.5,30.2,19.2,5.7,1.1,1.6,14.5,0.5,1.2,1.6,0.09,-1.1,-0.2,-1.3,0.2,0,0,0,2018
Dwyane Wade*,SG,36,TOT,67,1536,15.0,3.7,14.6,9.2,23.5,2.0,2.6,26.2,-0.4,1.6,1.1,0.036,-0.9,-0.1,-1.0,0.4,0,0,0,2018
Briante Weber,PG,25,TOT,18,237,10.1,3.8,13.1,8.4,13.1,3.8,1.9,11.7,0.0,0.4,0.4,0.072,-4.1,2.8,-1.3,0.0,0,0,0,2018
Troy Williams,SF,23,TOT,21,307,15.1,8.0,14.8,11.4,7.7,3.2,1.1,20.1,0.2,0.4,0.5,0.085,-1.0,0.5,-0.5,0.1,0,0,0,2018
Brandan Wright,PF,30,TOT,28,381,19.0,9.8,19.3,14.4,5.6,1.7,6.4,14.7,0.8,0.5,1.3,0.163,1.1,1.0,2.1,0.4,0,0,0,2018
